Time, 11_EV, 14_EV, 19_EV, 20_EV, 38_EV, 50_EV, 56_EV, 60_EV, 62_EV, 
2019 Aug 19 (Mon) 16:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 16:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 17:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 17:30, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 18:00, 90.3405, 96.6441, 96.1585, 94.3457, 100, 99.7202, 100, 98.798, 100, 
2019 Aug 19 (Mon) 18:30, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 19:00, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 19:30, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 20:00, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 20:30, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 21:00, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 21:30, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 22:00, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 22:30, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 23:00, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 19 (Mon) 23:30, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
2019 Aug 20 (Tue) 0:00, 80.5969, 86.9005, 86.4149, 84.6022, 90.2564, 89.9766, 90.2564, 89.0544, 90.2564, 
